1,"Automatic Data Processing, Inc.",2021/08/07
2,"GenVec, Inc.",2021/06/17
3,"Craft Brew Alliance, Inc.",2021/06/19
4,"Tallgrass Energy GP, LP",2021/07/08
5,Infinera Corporation,2021/02/05
6,Chatham Lodging Trust (REIT),2021/10/04
7,"The ONE Group Hospitality, Inc.",2021/12/08
8,"ONEOK, Inc.",2021/09/27
9,"Renewable Energy Group, Inc.",2021/07/27
10,PennantPark Investment Corporation,2021/10/27
11,LCI Industries ,2021/10/02
12,Hunter Maritime Acquisition Corp.,2021/10/09
13,"Titan International, Inc.",2021/07/21
14,"Southcross Energy Partners, L.P.",2021/01/01
15,"Collegium Pharmaceutical, Inc.",2021/11/13
16,Stepan Company,2021/02/05
17,Gabelli Global Small and Mid Cap Value Trust (The),2021/07/13
18,"Verastem, Inc.",2021/03/14
19,China Auto Logistics Inc.,2021/12/04
20,DTE Energy Company,2021/09/19
21,Chimera Investment Corporation,2021/03/02
22,Blackrock New York Municipal Bond Trust,2021/11/18
23,Northern Technologies International Corporation,2021/11/27
24,"Gabelli Equity Trust, Inc. (The)",2021/06/20
25,First Trust Mid Cap Value AlphaDEX Fund,2021/09/19
26,Eaton Vance Corporation,2021/01/11
27,"Cree, Inc.",2021/07/14
28,"Voyager Therapeutics, Inc.",2021/05/08
29,"Flexsteel Industries, Inc.",2021/09/01
30,PAR Technology Corporation,2021/04/12
31,BlackRock 2022 Global Income Opportunity Trust,2021/10/30
32,"Taubman Centers, Inc.",2021/10/15
33,Pershing Gold Corporation,2021/06/28
34,Taitron Components Incorporated,2021/06/16
35,Stepan Company,2021/09/08
36,Nuveen Insured New York Select Tax-Free Income Portfolio,2021/10/27
37,John Hancock Investors Trust,2021/10/18
38,"Argo Group International Holdings, Ltd.",2021/04/08
39,China XD Plastics Company Limited,2021/03/23
40,IPG Photonics Corporation,2021/04/01
41,Royal Bank Of Canada,2021/04/25
42,Eagle Point Credit Company Inc.,2021/09/06
43,"Activision Blizzard, Inc",2021/03/24
44,TransCanada Corporation,2021/08/14
45,PIMCO Income Strategy Fund II,2021/08/03
46,ClearBridge Dividend Strategy ESG ETF,2021/02/07
47,Quarterhill Inc.,2021/10/17
48,Green Dot Corporation,2021/12/11
49,"HarborOne Bancorp, Inc.",2021/01/30
50,Cushing Renaissance Fund (The),2021/05/28
51,China Finance Online Co. Limited,2021/01/30
52,Gladstone Investment Corporation,2021/08/09
53,"Intermolecular, Inc.",2021/07/28
54,"Acacia Communications, Inc.",2021/09/17
55,"Zendesk, Inc.",2021/02/11
56,"Hudson Technologies, Inc.",2021/10/15
57,STORE Capital Corporation,2021/01/08
58,PowerShares S&P SmallCap Consumer Discretionary Portfolio,2021/02/16
59,Senior Housing Properties Trust,2021/11/05
60,"Under Armour, Inc.",2021/01/29
61,BioShares Biotechnology Products Fund,2021/11/20
62,"Village Super Market, Inc.",2021/08/02
63,"New York Community Bancorp, Inc.",2021/08/16
64,QuickLogic Corporation,2021/01/12
65,"Goldman Sachs Group, Inc. (The)",2021/07/04
66,"Proteostasis Therapeutics, Inc.",2021/12/17
67,News Corporation,2021/08/07
68,"Huaneng Power International, Inc.",2021/11/07
69,Hospitality Properties Trust,2021/09/18
70,VivoPower International PLC,2021/01/16
71,"Watsco, Inc.",2021/06/02
72,Rice Energy Inc.,2021/12/28
73,YPF Sociedad Anonima,2021/07/06
74,Enterprise Financial Services Corporation,2021/01/08
75,"Lamb Weston Holdings, Inc.",2021/08/13
76,"Oxford Industries, Inc.",2021/06/14
77,NQ Mobile Inc.,2021/07/01
78,"Capricor Therapeutics, Inc.",2021/08/11
79,Ashford Hospitality Trust Inc,2021/09/10
80,El Paso Electric Company,2021/01/11
81,"Colony NorthStar, Inc.",2021/12/09
82,"CYS Investments, Inc.",2021/08/25
83,Cushing Energy Income Fund (The),2021/01/02
84,Illinois Tool Works Inc.,2021/09/29
85,"World Point Terminals, LP",2021/05/09
86,Heska Corporation,2021/06/10
87,Western Asset Global High Income Fund Inc,2021/01/28
88,Alcoa Corporation,2021/11/24
89,Triple-S Management Corporation,2021/07/07
90,vTv Therapeutics Inc.,2021/11/11
91,eBay Inc.,2021/08/14
92,Fifth Street Finance Corp.,2021/04/23
93,Siebert Financial Corp.,2021/09/15
94,Xylem Inc.,2021/02/06
95,Summit State Bank,2021/03/17
96,"Alexandria Real Estate Equities, Inc.",2021/08/02
97,Global Partner Acquisition Corp.,2021/11/04
98,Winmark Corporation,2021/02/20
99,Ideal Power Inc.,2021/01/15
100,"Synthetic Fixed-Income Securities, Inc.",2021/01/27
101,First Trust,2021/03/13
102,NewMarket Corporation,2021/07/05
103,PowerShares BuyBack Achievers Portfolio,2021/03/21
104,Nuveen Build America Bond Fund,2021/03/22
105,"Xerium Technologies, Inc.",2021/10/22
106,"Royce Value Trust, Inc.",2021/12/13
107,"TG Therapeutics, Inc.",2021/08/13
108,"Colony NorthStar, Inc.",2021/01/30
109,Norwood Financial Corp.,2021/09/23
110,Cinedigm Corp,2021/03/10
111,"Pacific Ethanol, Inc.",2021/05/09
112,"UFP Technologies, Inc.",2021/02/12
113,iRadimed Corporation,2021/03/04
114,Mississippi Power Company,2021/06/05
115,"Oxford Industries, Inc.",2021/06/08
116,Fifth Street Finance Corp.,2021/09/23
117,CPS Technologies Corp.,2021/07/22
118,"SMART Global Holdings, Inc.",2021/04/24
119,"AutoNation, Inc.",2021/02/21
120,"T2 Biosystems, Inc.",2021/12/24
121,IntriCon Corporation,2021/07/10
122,F.N.B. Corporation,2021/07/04
123,Eaton Vance Tax-Managed Diversified Equity Income Fund,2021/03/08
124,The Community Financial Corporation,2021/06/15
125,"Sinclair Broadcast Group, Inc.",2021/11/28
126,"Kinder Morgan, Inc.",2021/05/31
127,Wayfair Inc.,2021/11/12
128,"HomeTrust Bancshares, Inc.",2021/10/06
129,"ClubCorp Holdings, Inc.",2021/09/24
130,Intrexon Corporation,2021/08/29
131,Toll Brothers Inc.,2021/03/26
132,Westlake Chemical Corporation,2021/05/23
133,"Himax Technologies, Inc.",2021/02/19
134,"Fossil Group, Inc.",2021/03/10
135,"Cavium, Inc.",2021/05/02
136,AllianceBernstein Holding L.P.,2021/08/22
137,Blackrock Defined Opportunity Credit Trust,2021/11/19
138,"Omega Flex, Inc.",2021/10/27
139,"Sunstone Hotel Investors, Inc.",2021/02/22
140,"McDermott International, Inc.",2021/05/05
141,"Five Below, Inc.",2021/10/12
142,SeaSpine Holdings Corporation,2021/03/30
143,"Park City Group, Inc.",2021/11/04
144,"Vishay Intertechnology, Inc.",2021/12/09
145,Echelon Corporation,2021/10/13
146,Delaware Enhanced Global Dividend,2021/02/14
147,"CSG Systems International, Inc.",2021/01/29
148,Adient plc,2021/07/23
149,"China Jo-Jo Drugstores, Inc.",2021/09/22
150,"Apple Hospitality REIT, Inc.",2021/02/01
151,Grupo Financiero Galicia S.A.,2021/11/28
152,United States Cellular Corporation,2021/11/04
153,Bank of America Corporation,2021/07/03
154,ProQR Therapeutics N.V.,2021/03/14
155,"Huntington Ingalls Industries, Inc.",2021/11/10
156,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,2021/11/10
157,"Inventure Foods, Inc.",2021/11/18
158,JetPay Corporation,2021/10/13
159,"XG Technology, Inc",2021/09/21
160,"Qorvo, Inc.",2021/11/09
161,"Haynes International, Inc.",2021/07/28
162,"Amtech Systems, Inc.",2021/05/27
163,Public Storage,2021/09/13
164,Huntington Bancshares Incorporated,2021/05/16
165,Willis Lease Finance Corporation,2021/05/12
166,"B&G Foods, Inc.",2021/12/30
167,"Armstrong Flooring, Inc.",2021/11/08
168,Tata Motors Ltd,2021/02/18
169,Hutchison China MediTech Limited,2021/08/14
170,"InnerWorkings, Inc.",2021/05/23
171,"Synthetic Fixed-Income Securities, Inc.",2021/11/24
172,"Loral Space and Communications, Inc.",2021/12/01
173,"Shake Shack, Inc.",2021/05/10
174,"Randolph Bancorp, Inc.",2021/04/29
175,"Red Robin Gourmet Burgers, Inc.",2021/01/17
176,Live Ventures Incorporated,2021/05/14
177,"Popular, Inc.",2021/08/10
178,Costamare Inc.,2021/08/05
179,Modern Media Acquisition Corp.,2021/11/19
180,NASDAQ TEST STOCK,2021/10/04
181,"Chanticleer Holdings, Inc.",2021/07/17
182,"Blueknight Energy Partners L.P., L.L.C.",2021/12/09
183,"Global Water Resources, Inc.",2021/06/09
184,iPath US Treasury 2-year Bull ETN,2021/07/09
185,Electrum Special Acquisition Corporation,2021/09/30
186,Davis Select Worldwide ETF,2021/10/22
187,Hoegh LNG Partners LP,2021/07/18
188,"MarineMax, Inc.",2021/04/24
189,"Casella Waste Systems, Inc.",2021/12/07
190,"Orexigen Therapeutics, Inc.",2021/12/02
191,Caesars Acquisition Company,2021/04/08
192,Martin Midstream Partners L.P.,2021/03/26
193,Allstate Corporation (The),2021/04/14
194,Hudbay Minerals Inc.,2021/01/07
195,Barington/Hilco Acquisition Corp.,2021/07/11
196,Microbot Medical Inc. ,2021/12/15
197,Dover Corporation,2021/05/19
198,"Orion Energy Systems, Inc.",2021/03/09
199,"AG Mortgage Investment Trust, Inc.",2021/04/18
200,First Trust High Income ETF,2021/08/28
201,"Becton, Dickinson and Company",2021/06/15
202,Navistar International Corporation,2021/06/02
203,iShares MSCI Europe Small-Cap ETF,2021/10/04
204,Neogen Corporation,2021/11/28
205,WD-40 Company,2021/10/29
206,"T-Mobile US, Inc.",2021/02/28
207,HollyFrontier Corporation,2021/08/17
208,Intra-Cellular Therapies Inc.,2021/02/03
209,Renasant Corporation,2021/06/27
210,"Surmodics, Inc.",2021/02/12
211,Royal Bank Scotland plc (The),2021/03/26
212,Janus Henderson Small Cap Growth Alpha ETF,2021/03/15
213,BBVA Banco Frances S.A.,2021/12/21
214,The Goodyear Tire & Rubber Company,2021/08/25
215,FIRST REPUBLIC BANK,2021/03/25
216,"Magna International, Inc.",2021/02/25
217,CSI Compressco LP,2021/03/09
218,"RCM Technologies, Inc.",2021/01/15
219,"Accelerate Diagnostics, Inc.",2021/12/10
220,"Alliance HealthCare Services, Inc.",2021/05/15
221,Microsemi Corporation,2021/05/04
222,Performance Food Group Company,2021/09/21
223,Israel Chemicals Shs,2021/01/01
224,Celgene Corporation,2021/05/07
225,"Caseys General Stores, Inc.",2021/09/26
226,"Citizens, Inc.",2021/12/24
227,"Q2 Holdings, Inc.",2021/08/13
228,"CASI Pharmaceuticals, Inc.",2021/06/07
229,Boardwalk Pipeline Partners L.P.,2021/04/16
230,Ellington Financial LLC,2021/06/09
231,Norbord Inc.,2021/05/10
232,Hess Midstream Partners LP,2021/04/13
233,Comcast Corporation,2021/05/07
234,"China Fund, Inc. (The)",2021/10/08
235,Bank Of New York Mellon Corporation (The),2021/08/22
236,"El Pollo Loco Holdings, Inc.",2021/05/19
237,Entertainment Gaming Asia Incorporated,2021/06/14
238,"The Ultimate Software Group, Inc.",2021/10/05
239,"Hartford Financial Services Group, Inc. (The)",2021/09/16
240,"WPX Energy, Inc.",2021/05/05
241,FedEx Corporation,2021/05/06
242,"Patterson Companies, Inc.",2021/10/01
243,Hutchison China MediTech Limited,2021/08/11
244,"Advaxis, Inc.",2021/10/26
245,"Cogentix Medical, Inc.",2021/03/20
246,"Universal Stainless & Alloy Products, Inc.",2021/10/26
247,Cliffs Natural Resources Inc.,2021/01/02
248,First Trust Municipal CEF Income Opportunity ETF,2021/07/22
249,"Atlas Financial Holdings, Inc.",2021/03/13
250,Boston Omaha Corporation,2021/01/13
251,Schlumberger N.V.,2021/05/28
252,Echelon Corporation,2021/07/31
253,Stone Harbor Emerging Markets Income Fund,2021/04/11
254,Pan American Silver Corp.,2021/11/30
255,Nordic American Tankers Limited,2021/12/23
256,"Allied World Assurance Company Holdings, AG",2021/09/13
257,Baytex Energy Corp,2021/07/19
258,Double Eagle Acquisition Corp.,2021/09/27
259,Future FinTech Group Inc.,2021/03/18
260,Pebblebrook Hotel Trust,2021/10/27
261,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",2021/04/28
262,"GlycoMimetics, Inc.",2021/05/27
263,AmeriServ Financial Inc.,2021/05/24
264,"GlycoMimetics, Inc.",2021/08/20
265,First Trust Strategic High Income Fund II,2021/08/10
266,"Juno Therapeutics, Inc.",2021/02/20
267,Benitec Biopharma Limited,2021/04/30
268,"Capital Trust, Inc.",2021/02/17
269,TICC Capital Corp.,2021/12/03
270,"Sangamo Therapeutics, Inc.",2021/05/23
271,"Clearside Biomedical, Inc.",2021/08/08
272,Public Storage,2021/02/24
273,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,2021/12/19
274,"Vail Resorts, Inc.",2021/03/06
275,"Genomic Health, Inc.",2021/09/19
276,CounterPath Corporation,2021/06/04
277,"Badger Meter, Inc.",2021/03/17
278,City Holding Company,2021/05/12
279,"Chipotle Mexican Grill, Inc.",2021/05/17
280,Transdigm Group Incorporated,2021/06/17
281,Delaware Enhanced Global Dividend,2021/05/26
282,MB Financial Inc.,2021/04/09
283,Alpine Global Premier Properties Fund,2021/03/15
284,"AMAG Pharmaceuticals, Inc.",2021/11/19
285,"AVEO Pharmaceuticals, Inc.",2021/04/01
286,Tekla Healthcare Investors,2021/09/28
287,Rayonier Inc.,2021/07/07
288,"Zillow Group, Inc.",2021/08/25
289,"PNC Financial Services Group, Inc. (The)",2021/05/04
290,Brookfield Canada Office Properties,2021/04/19
291,"Royal Gold, Inc.",2021/01/09
292,"Iteris, Inc.",2021/01/25
293,Two River Bancorp,2021/08/11
294,Andina Acquisition Corp. II,2021/04/21
295,"Commerce Bancshares, Inc.",2021/01/10
296,Nuveen Mortgage Opportunity Term Fund,2021/08/28
297,"Heidrick & Struggles International, Inc.",2021/03/21
298,"Coeur Mining, Inc.",2021/07/20
299,"Hartford Financial Services Group, Inc. (The)",2021/10/21
300,Global Medical REIT Inc.,2021/08/12
301,"Coherus BioSciences, Inc.",2021/12/13
302,ReWalk Robotics Ltd,2021/04/26
303,"AG Mortgage Investment Trust, Inc.",2021/06/11
