id,Nombre,Fecha
1,"Schmitt Industries, Inc.",09/03/2021
2,W.R. Grace & Co.,02/19/2021
3,Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ,08/22/2021
4,Female Health Company (The),10/02/2021
5,"ShoreTel, Inc.",11/13/2021
6,Tonix Pharmaceuticals Holding Corp.,07/31/2021
7,Boulevard Acquisition Corp. II,01/07/2021
8,Active Alts Contrarian ETF,05/12/2021
9,Flaherty & Crumrine Preferred Income Fund Incorporated,07/02/2021
10,Southern Copper Corporation,10/11/2021
11,Veeco Instruments Inc.,08/27/2021
12,"Cedar Realty Trust, Inc.",09/16/2021
13,DTE Energy Company,07/28/2021
14,Hanmi Financial Corporation,08/17/2021
15,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",09/06/2021
16,Materialise NV,04/21/2021
17,Medovex Corp.,12/11/2021
18,"Hanwha Q CELLS Co., Ltd. ",11/03/2021
19,Jumei International Holding Limited,05/30/2021
20,"Tortoise MLP Fund, Inc.",12/31/2021
21,UroGen Pharma Ltd.,09/23/2021
22,Modern Media Acquisition Corp.,04/18/2021
23,Timken Company (The),04/19/2021
24,Resource Capital Corp.,01/09/2021
25,SJW Group,10/23/2021
26,Sears Canada Inc. ,02/20/2021
27,"WideOpenWest, Inc.",08/11/2021
28,"Pinnacle Financial Partners, Inc.",04/11/2021
29,Primoris Services Corporation,09/30/2021
30,"National Health Investors, Inc.",09/05/2021
31,"Williams-Sonoma, Inc.",04/08/2021
32,NXT-ID Inc.,06/29/2021
33,Consolidated Water Co. Ltd.,10/09/2021
34,"Jaguar Animal Health, Inc.",04/11/2021
35,"Clean Harbors, Inc.",08/31/2021
36,Tsakos Energy Navigation Ltd,02/18/2021
37,Biglari Holdings Inc.,12/29/2021
38,Blackrock Global,02/19/2021
39,"Gevo, Inc.",09/26/2021
40,"Freshpet, Inc.",01/01/2021
41,PICO Holdings Inc.,08/10/2021
42,"Landstar System, Inc.",08/07/2021
43,Sunrun Inc.,06/05/2021
44,TopBuild Corp.,02/22/2021
45,Bank Of New York Mellon Corporation (The),08/12/2021
46,"Moxian, Inc.",05/24/2021
47,"SEACOR Holdings, Inc.",08/07/2021
48,"Boot Barn Holdings, Inc.",07/23/2021
49,"First Financial Northwest, Inc.",10/28/2021
50,Oxford Immunotec Global PLC,04/23/2021
51,Verint Systems Inc.,02/18/2021
52,Stellar Acquisition III Inc.,05/06/2021
53,"Magyar Bancorp, Inc.",08/23/2021
54,"Templeton Emerging Markets Income Fund, Inc.",09/01/2021
55,Rayonier Advanced Materials Inc.,07/20/2021
56,"Crown Holdings, Inc.",08/12/2021
